Barcode;Mass;MassRate;Payment;Value;InsrRate;AirRate;IndexTo;City;Street;Addressee;Comment;;;TelAddress
11172572335340;570;16330;0;0;0;0;105120;Москва, Хлебников пер., 8/2, стр.1;;"ООО ПКФ ""Глобус-М""";Заказ №1 (0827/16);;;
11172572335357;1120;17670;0;0;0;0;111024;г.Москва, 2-ой Кабельный проезд, д.1;;"ООО ""Связь Коннект""";Заказ №2 (1007/16,1007/17);;;
11172572335364;3340;23030;0;0;0;0;119034;г.Москва, 2-й Обыденский пер., 11;;"ОАО ""Транстелеком""";Заказ №3 (1108/03);;;
11172572335371;820;16330;0;0;0;0;123308;г.Москва, ул. Демьяна Бедного, д. 24;;"ЗАО ""Аструм-РТВ""";Заказ №4 (0328/14,0328/21);;;
11172572335388;1360;17670;0;0;0;0;127015;г. Москва, ул. Вятская, д. 27 корп.5;;"ООО ""Дельта Телеком"", Москва";Заказ №5 (1204/02);;;
11172572335395;1980;19010;0;0;0;0;127287;г. Москва. ул. 2-я Хуторская, д. 38А. стр. 17;;"ООО ""Нэт Бай Нэт Холдинг""";Заказ №6 (1113/22);;;
11172572335401;560;16330;0;0;0;0;127299;г. Москва, ул. Большая Академическая, д. 5А;;"ООО ""Радио-Дача""";Заказ №7 (1119/10);;;
11172572335418;3640;24370;0;0;0;0;127521;г.Москва, ул.Октябрьская, 72;;"ООО ""Инлайн Телеком Солюшнс""";Заказ №8 (1120/01);;;
11172572335425;5770;29730;0;0;0;0;141009;Московская обл., г.Мытищи, Олимпийский пр-т, д.3;;"ООО ""Телеком-проект-5""";Заказ №9 (1202/02,1121/09,1121/08,1202/03);;;
11172572335432;5760;29730;0;0;0;0;141009;Московская обл., г.Мытищи, Олимпийский пр-т, д.3;;"ООО ""Телеком-проект-5""";Заказ №9 (1202/02,1121/09,1121/08,1202/03);;;
11172572335449;5420;28390;0;0;0;0;141009;Московская обл., г.Мытищи, Олимпийский пр-т, д.3;;"ООО ""Телеком-проект-5""";Заказ №9 (1202/02,1121/09,1121/08,1202/03);;;
11172572335456;520;16330;0;0;0;0;142302;Московская область Чехов-2 ул. Октябрьская. д. 40;;"ООО ""ИНТЕРТЕЛЕКОМ""";Заказ №10 (1126/39);;;
11172572335463;1060;17670;0;0;0;0;142600;Московская область, г. Орехово-Зуево, ул. Егорьевская, 17;;"ООО ""Телеком-Услуги""";Заказ №11 (1213/10);;;
11172572335470;2430;20350;0;0;0;0;153029;"г.Иваново, ул.Минская. 55 ""А""";;"СМУ ОАО ""Союз-Телефонстрой"" в г. Иваново";Заказ №12 (0923/10);;;
11172572335487;3920;24370;0;0;0;0;153029;"г.Иваново, ул.Минская. 55 ""А""";;"СМУ ОАО ""Союз-Телефонстрой"" в г. Иваново";Заказ №13 (0329/01);;;
11172572335494;1020;17670;0;0;0;0;156961;г.Кострома, ул.Комсомольская, 4;;"ООО ""Костромалеспроект""";Заказ №14 (1128/06)
11172572335500;4260;27680;0;0;0;0;190000;г.Санкт-Петербург, ул. Почтамтская, д. 1;;"ООО ""МультиСервисПроект""";Заказ №15 (1212/03,1211/23,1211/20,1211/18,1211/19,1211/17,1212/04,1211/16,1211/21,1211/22)
11172572335517;960;16760;0;0;0;0;190000;г.Санкт-Петербург, ул. Почтамтская, д. 1;;"ООО ""МультиСервисПроект""";Заказ №15 (1212/03,1211/23,1211/20,1211/18,1211/19,1211/17,1212/04,1211/16,1211/21,1211/22)
11172572335524;2160;21440;0;0;0;0;190000;г.Санкт-Петербург, ул. Почтамтская, д. 1;;"ООО ""МультиСервисПроект""";Заказ №15 (1212/03,1211/23,1211/20,1211/18,1211/19,1211/17,1212/04,1211/16,1211/21,1211/22)
11172572335531;4990;29240;0;0;0;0;190000;г.Санкт-Петербург, ул. Почтамтская, д. 1;;"ООО ""МультиСервисПроект""";Заказ №16 (1202/16,1209/19)
11172572335548;4770;29240;0;0;0;0;190000;г.Санкт-Петербург, ул. Почтамтская, д. 1;;"ООО ""МультиСервисПроект""";Заказ №16 (1202/16,1209/19)
11172572335555;1640;19880;0;0;0;0;190000;г.Санкт-Петербург, ул. Почтамтская, д. 1;;"ООО ""МультиСервисПроект""";Заказ №17 (1017/11,0813/06,0905/04)
11172572335562;3040;24560;0;0;0;0;190013;г. Санкт-Петербург, ул. Бронницкая, д.27,кв.21;;"ООО ""Северо-Западная Проектная Компания""";Заказ №18 (1125/15)
11172572335579;1400;18320;0;0;0;0;191119;г.Санкт-Петербург, ул.Достоевского, д.30, пом. 10;;"ООО ""Телэкс Про""";Заказ №19 (1125/02)
11172572335586;640;16760;0;0;0;0;192171;г. Санкт-Петербург, ул. Бабушкина, дом. 36, корп. 1;;"ОАО ""НИТИОМ ВНЦ ""ГОИ им. С.И. Вавилова""";Заказ №20 (1126/33)
11172572335593;3570;26120;0;0;0;0;196601;г. Санкт-Петербург.г. Пушкин, ул. Церковная, д.17;;"ООО ""НПФ Оптикэнергострой""";Заказ №21 (1209/01)
11172572335609;4010;27680;0;0;0;0;197022;"г. Санкт-Петербург, ул. Всеволода Вишневского, д. 12, литера ""А"", 4 этаж";;"ООО ""Кабельстрой""";Заказ №22 (1226/11)
11172572335616;2340;21440;0;0;0;0;197022;"г. Санкт-Петербург, ул. Всеволода Вишневского, д. 12, литера ""А"", 4 этаж";;"ООО ""Кабельстрой""";Заказ №22 (1226/11)
