GroupField;CountField
103220;1
105043;1
105094;1
105215;1
105275;1
105318;1
107014;1
109147;1
109507;1
109542;1
109651;1
111020;1
111024;1
111250;1
111399;1
111673;1
115304;1
115470;1
115516;1
115522;1
115541;1
115582;1
115583;1
115597;1
116619;1
117032;1
117042;1
117393;1
117461;1
117513;1
117525;1
117588;2
119027;1
119049;1
119330;1
119361;2
119415;1
119421;1
119517;1
119530;1
119607;1
119634;1
121596;1
123007;1
123056;1
123290;2
123308;1
123365;1
123436;1
124460;1
124482;1
125009;1
125130;1
125206;1
125222;1
125310;1
125362;1
125412;1
125414;1
125430;2
125480;2
125481;1
127051;2
127055;1
127137;1
127204;1
127238;2
127322;1
127349;2
127562;1
129110;2
129281;2
129301;1
129323;1
129345;1
129346;1
129347;1
129515;1
140109;1
140187;1
140188;1
141021;1
141070;2
141100;1
141106;1
141195;1
141400;2
141431;1
141600;1
141700;1
141980;2
142042;1
142134;1
142407;1
142701;1
142791;1
142800;2
143079;1
143090;2
143360;2
143500;1
143900;1
143910;1
143981;1
150045;1
150047;1
150051;1
150504;1
152610;1
152903;1
153000;1
153038;1
153042;1
156013;1
162604;1
162622;1
170033;1
170100;1
172380;1
173015;1
173020;1
183038;1
190000;1
193231;1
193737;1
194291;1
195274;1
214000;1
214014;1
214018;1
236000;1
236013;1
236016;1
238311;1
249000;1
249020;1
249034;1
249090;1
249201;1
300034;1
350040;1
353440;1
353445;1
353454;1
353925;1
353971;1
354209;1
357000;1
357502;1
357600;1
390048;1
394000;1
394002;1
394065;1
398005;1
400066;1
400131;1
410002;1
410010;1
413116;1
420015;1
420043;1
420066;1
420111;1
423570;1
423647;1
426004;1
428023;1
440027;1
443013;1
443030;1
443068;1
445031;1
445047;1
450000;1
454091;1
455000;1
600009;1
600023;1
601650;1
601785;1
603000;1
603022;1
606800;1
610001;1
610003;1
610020;1
610021;1
610046;1
610048;1
614051;1
614077;1
618404;1
620012;1
620043;1
620072;1
620085;1
620098;1
624071;1
624090;1
625006;1
628400;1
628405;2
628600;1
628680;1
630060;1
634526;1
640000;1
644024;1
644033;2
644043;1
650099;1
652810;1
660049;1
664031;1
666036;1
680000;1
680030;1
682860;1
690066;1
690068;1
692916;1
